new_id,max_date,defaut,Nbre_rejection_3M,Temps_écoulé,Mont_tot_sur_3M,SOLDE,Somme_Reject
2143-1,2022-12-06 23:00:00,0,0,999,1806.9100000000003,-26120.160000000003,0.0
2145-2,2024-03-03 23:00:00,0,0,999,1968.1199999999994,-9770.57,0.0
2145-1,2022-12-06 23:00:00,0,0,999,244.7800000000002,-18419.32,0.0
2148-1,2024-02-21 23:00:00,0,0,999,610.9700000000016,-5048.810000000001,0.0
2150-1,2023-05-14 22:00:00,0,0,999,1831.2999999999993,-6615.670000000002,0.0
2157-1,2024-02-25 23:00:00,0,0,999,-313.87000000000006,-1109.4700000000005,0.0
2158-1,2022-07-14 22:00:00,0,0,999,1177.5900000000001,-1632.4200000000033,0.0
2163-3,2024-02-25 23:00:00,0,0,999,35.610000000000056,-1892.3899999999994,0.0
2163-2,2022-11-25 23:00:00,0,0,999,-914.4300000000001,-932.1900000000005,0.0
2163-1,2021-08-23 22:00:00,0,0,999,-55.05,64.90000000000191,0.0
2171-1,2022-05-18 22:00:00,0,0,999,-8667.559999999998,-10695.150000000003,0.0
2173-1,2023-11-09 23:00:00,0,0,999,2548.8000000000006,-7116.399999999999,0.0
2181-2,2023-08-03 22:00:00,1,1,19,496.6299999999999,-1332.01,56.99
2181-1,2022-04-27 22:00:00,1,0,999,81.94999999999999,-3150.9300000000003,0.0
2182-2,2024-02-20 23:00:00,0,0,999,-182.27999999999992,-383.7800000000001,0.0
2182-1,2022-11-13 23:00:00,0,0,999,1041.8199999999997,-2570.6499999999987,0.0
2183-1,2023-02-06 23:00:00,0,0,999,169.24000000000012,-617.6099999999997,0.0
2188-2,2024-02-17 23:00:00,0,0,999,625.19,-1662.8899999999976,0.0
2188-1,2022-11-21 23:00:00,0,0,999,2926.2699999999995,-32299.68,0.0
2190-1,2024-03-03 23:00:00,0,0,999,2672.5699999999997,-5690.9400000000005,0.0
2198-2,2023-11-10 23:00:00,0,0,999,0.0,-332.27,0.0
2198-1,2022-05-19 22:00:00,0,0,999,0.0,-332.27,0.0
2199-2,2024-03-03 23:00:00,0,0,999,2237.39,-6425.62,0.0
2199-1,2022-12-08 23:00:00,0,0,999,255.12,-13270.670000000002,0.0
2200-1,2024-03-03 23:00:00,0,0,999,2575.5200000000004,-1787.56,0.0
2201-2,2024-03-03 23:00:00,0,0,999,720.44,-8393.710000000001,0.0
2201-1,2022-12-07 23:00:00,0,0,999,3962.750000000001,-19735.700000000004,0.0
