new_id,max_date,defaut,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,Mont_tot_sur_3M,SOLDE
24970-1,2022-11-27 23:00:00,0,0,0.0,999,-200.37999999999863,4365.120000000005
24984-1,2023-11-14 23:00:00,0,0,0.0,999,-1215.5500000000002,141.8699999999999
24986-1,2023-11-14 23:00:00,0,0,0.0,999,1614.8700000000001,-11120.310000000003
25004-1,2022-10-04 22:00:00,0,0,0.0,999,5567.8899999999985,354.6399999999958
25028-1,2024-03-03 23:00:00,0,4,3135.0,60,7527.51,-17478.61
25042-1,2022-12-21 23:00:00,0,0,0.0,999,5313.24,-5530.989999999999
25059-1,2022-12-19 23:00:00,0,0,0.0,999,990.8000000000002,-328.8700000000001
25060-1,2022-12-19 23:00:00,0,0,0.0,999,6719.910000000001,-43720.09999999999
25123-1,2022-11-28 23:00:00,0,0,0.0,999,2443.1500000000015,-10346.819999999994
25124-1,2022-11-28 23:00:00,0,0,0.0,999,2261.9699999999993,-441.22999999999973
25218-1,2024-03-03 23:00:00,0,1,-80.0,71,5258.290000000001,-11336.609999999999
25238-1,2024-01-18 23:00:00,0,0,0.0,999,-18.14,-2576.619999999999
25276-1,2022-12-13 23:00:00,1,0,0.0,999,1520.4899999999993,646.4499999999971
25277-1,2022-12-13 23:00:00,0,4,272.14,2,1334.9699999999998,11040.850000000002
25278-1,2024-03-03 23:00:00,0,0,0.0,999,2903.5400000000004,-6810.049999999998
25332-1,2024-02-29 23:00:00,0,0,0.0,999,314.56999999999994,2.4000000000000545
25368-3,2023-01-24 23:00:00,0,0,0.0,999,1.8800000000000523,-269.7300000000001
25368-2,2021-10-30 22:00:00,0,0,0.0,999,-291.15999999999997,-1595.4700000000003
25368-1,2020-08-05 22:00:00,0,0,0.0,999,-115.70999999999994,-3056.6200000000003
25374-1,2024-02-25 23:00:00,0,0,0.0,999,-10086.44,-1301.7400000000016
25384-4,2022-12-20 23:00:00,0,0,0.0,999,-13109.509999999998,277.1499999999651
25384-3,2021-09-22 22:00:00,0,0,0.0,999,-1567.6800000000003,16836.010000000126
25384-2,2020-06-28 22:00:00,0,0,0.0,999,-1807.43,-6997.570000000007
25384-1,2019-03-27 23:00:00,0,0,0.0,999,-203.28999999999996,-10138.419999999867
25385-4,2022-12-05 23:00:00,0,0,0.0,999,0.0,0.0
25385-3,2020-12-02 23:00:00,0,0,0.0,999,0.0,290.0
25385-2,2020-03-11 23:00:00,0,0,0.0,999,0.0,290.0
25386-4,2022-11-30 23:00:00,0,0,0.0,999,-150.0,44.999999999999886
25386-3,2020-08-09 22:00:00,0,0,0.0,999,0.0,964.55
25386-2,2020-03-11 23:00:00,0,0,0.0,999,0.0,964.55
25387-10,2022-12-18 23:00:00,0,0,0.0,999,-5221.049999999996,-842.9100000000071
25387-9,2021-09-23 22:00:00,0,0,0.0,999,-135.85999999999987,15267.750000000004
25387-8,2020-06-29 22:00:00,0,0,0.0,999,-1275.73,-6613.500000000018
25387-7,2019-04-04 22:00:00,0,0,0.0,999,-2010.52,-5083.55000000001
25387-6,2018-01-01 23:00:00,0,0,0.0,999,-158.0300000000001,-6161.469999999965
25387-5,2016-10-13 22:00:00,0,0,0.0,999,-45.04999999999984,-6115.070000000029
25387-4,2015-07-15 22:00:00,0,0,0.0,999,-1235.2699999999998,-5127.750000000051
25387-3,2014-04-27 22:00:00,0,0,0.0,999,2260.0,-4574.510000000031
25387-2,2013-01-31 23:00:00,0,0,0.0,999,500.31999999999994,-5012.680000000044
25387-1,2011-10-24 22:00:00,0,0,0.0,999,880.0,-14927.97000000011
25429-1,2022-12-22 23:00:00,1,4,91.94,7,145.31000000000006,-1601.2200000000003
25474-1,2022-12-22 23:00:00,0,0,0.0,999,13196.39,-25025.48000000001
25475-1,2022-12-20 23:00:00,0,0,0.0,999,331.44999999999993,1208.7099999999994
