new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22130-10,2021-01-25 23:00:00,0,6114.0,-2698.1299999999997,0,0.0,999,-28150.19
22130-9,2019-11-03 23:00:00,0,3021.25,-1561.9799999999998,0,0.0,999,-38312.619999999995
22130-8,2018-08-09 22:00:00,0,3138.62,-1612.6799999999998,0,0.0,999,-46835.43
22130-7,2017-05-16 22:00:00,0,7586.179999999999,-5322.19,0,0.0,999,-54186.399999999994
22130-6,2016-02-17 23:00:00,0,13650.8,-11160.41,0,0.0,999,-59155.799999999996
22130-5,2014-11-25 23:00:00,0,9378.94,-6559.389999999999,0,0.0,999,-70328.78999999998
22130-4,2013-09-01 22:00:00,0,13815.9,-13255.240000000002,0,0.0,999,-74797.58
22130-3,2012-06-05 22:00:00,0,10617.73,-6830.73,0,0.0,999,-85244.95
22130-2,2011-03-13 23:00:00,0,7612.899999999999,-4882.37,0,0.0,999,-101477.26999999999
22130-1,2009-12-13 23:00:00,0,2614.7,-1148.19,0,0.0,999,-115521.25
22132-1,2022-12-11 23:00:00,0,5762.82,-3432.45,0,0.0,999,-7672.329999999999
22160-1,2022-12-05 23:00:00,0,150.0,-150.0,0,0.0,999,59.86999999999999
22161-1,2022-12-11 23:00:00,0,14700.479999999998,-11075.880000000001,0,0.0,999,-12043.580000000004
22192-1,2024-03-03 23:00:00,0,3050.0,-3210.8599999999997,0,0.0,999,-3547.36
22203-1,2022-12-09 23:00:00,0,1109.0,-2347.96,0,0.0,999,395.4899999999993
22209-1,2022-12-06 23:00:00,0,27260.0,-27217.899999999994,0,0.0,999,435.40999999999804
22210-1,2022-12-11 23:00:00,0,38820.95,-31296.74,0,0.0,999,-29968.309999999998
22217-1,2022-12-11 23:00:00,0,9900.51,-8746.489999999998,0,0.0,999,-10322.910000000007
22219-1,2022-12-11 23:00:00,0,91232.06999999999,-108926.54,0,0.0,999,-22399.110000000008
22224-3,2023-08-17 22:00:00,0,6752.12,-5381.14,0,0.0,999,-7675.249999999997
22224-2,2022-05-22 22:00:00,0,5144.199999999999,-4227.0599999999995,0,0.0,999,-12288.619999999999
22224-1,2021-02-22 23:00:00,0,2598.4599999999996,-1928.7399999999998,0,0.0,999,-17562.85
22249-1,2024-01-22 23:00:00,0,361721.44999999995,-384327.43,0,0.0,999,-1081420.7300000002
22255-1,2022-12-06 23:00:00,0,4107.889999999999,-3982.0299999999997,0,0.0,999,-619.2999999999817
22256-1,2022-12-11 23:00:00,0,0.0,-2045.9499999999998,0,0.0,999,-2546.170000000001
22268-1,2022-12-12 23:00:00,1,5735.08,-5596.11,7,570.68,1,-6305.35
22277-1,2023-10-15 22:00:00,0,5840.82,-4153.15,0,0.0,999,-8539.579999999998
22300-1,2022-12-08 23:00:00,0,4828.7300000000005,-5000.71,0,0.0,999,85.65999999999838
22301-1,2022-12-11 23:00:00,0,28734.37,-27136.05,0,0.0,999,-14311.460000000003
22302-1,2022-12-11 23:00:00,0,9896.62,-6784.4400000000005,0,0.0,999,3672.900000000001
